order_date,ship_date,category,subcategory,sales_amount,quantity,discount,customer_region,is_returned
2021-04-01,2021-04-10,Electronics,Tablet,158.69,65,0.2806,South,0
2024-09-14,,Clothing,Shoes,1707.85,98,0.0464,East,0
2021-01-31,2021-02-09,Home,Bedding,403.21,81,0.4309,East,0
2022-02-26,2022-02-28,Sports,Fitness,1906.83,47,0.1776,North,0
2022-12-29,2023-01-01,Sports,Fitness,4627.70,29,0.4214,East,0
2020-08-17,2020-08-27,Clothing,Shirt,3280.64,83,0.1324,West,0
2022-10-07,2022-10-13,Sports,Team Sports,2552.54,7,0.0764,West,0
2021-10-17,2021-10-25,Sports,Water Sports,4305.29,93,0.4424,East,0
2022-12-28,2023-01-02,Sports,Team Sports,2543.33,81,0.3195,North,0
2022-03-25,2022-04-03,Clothing,Dress,2448.14,47,0.4158,West,0
2023-06-13,2023-06-21,Clothing,Shirt,2668.20,85,0.2749,South,0
2022-12-21,2022-12-25,Toys,Building Blocks,3361.72,67,0.1240,South,0
2020-09-19,2020-09-21,Home,Furniture,346.33,43,0.1190,East,0
2025-06-11,2025-06-19,Clothing,Jacket,2041.23,85,0.2118,North,0
2025-03-27,2025-04-03,Sports,Fitness,555.25,69,0.2109,East,0
2023-02-14,2023-02-23,Books,Non-Fiction,2707.53,12,0.4243,West,0
2021-11-12,2021-11-15,Books,Comics,1333.36,59,0.3483,East,0
2025-06-16,2025-06-25,Clothing,Pants,260.21,68,0.4804,South,0
2020-11-24,2020-11-26,Clothing,Shirt,2898.81,11,0.2918,East,0
2025-11-11,2025-11-18,Home,Bedding,2291.55,10,,North,0
2021-02-13,2021-02-15,Electronics,Camera,797.16,91,0.4919,North,0
2025-12-06,2025-12-09,Electronics,Camera,3714.66,37,0.3588,South,0
2022-04-13,2022-04-14,Sports,Team Sports,1390.63,0,0.1310,East,0
2024-12-14,2024-12-17,Toys,Dolls,2916.72,17,0.1823,East,0
2020-06-12,2020-06-21,Home,Kitchen,3107.10,31,0.4881,East,0
2021-12-26,2022-01-02,Books,Fiction,4055.64,90,0.4361,North,0
2025-04-11,2025-04-15,Clothing,Pants,1998.35,9,0.1396,West,0
2025-09-17,2025-09-20,Books,Textbook,200.90,45,0.1568,West,0
2025-09-25,2025-10-02,Electronics,Headphones,,69,0.4701,West,0
2022-03-18,2022-03-24,Home,Lighting,4501.23,86,0.2012,North,0
2023-04-26,2023-04-29,Toys,Action Figures,2744.21,999,0.3929,North,0
2023-08-12,2023-08-15,Books,Comics,3322.63,12,0.3756,South,0
2023-06-25,2023-07-05,Clothing,Pants,2078.06,25,0.1920,North,1
2024-06-24,2024-06-26,Clothing,Pants,4022.51,60,0.1246,East,1
